Species,Owner,Country,Company,Altitude,Region,Producer,Partner,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,unit_of_measurement,altitude_low_meters,altitude_high_meters,altitude_mean_meters
Arabica,CQI Taiwan ICP CQI,Taiwan,????,200,taiwan,???,Blossom Valley International,7.33,7.17,7.25,7.33,7.33,7.25,m,200,200,200
Arabica,eileen koyanagi,United States of America,kona pacific farmers cooperative,,kona,,Specialty Coffee Association,7.42,7.08,7.17,7.17,7.58,7.25,ft,NA,NA,NA
Arabica,CQI Taiwan ICP CQI,Taiwan,blossom valley????,900 m,taichung taiping ??????,Lu bi yun???,Blossom Valley International,7.42,7.25,7.25,7.25,7.25,7.25,m,900,900,900
Arabica,CQI Taiwan ICP CQI,Taiwan,blossom valley????,300 m,"zhonghe, taipei",Lu xing hui ???,Blossom Valley International,7.42,7.25,7.25,7.25,7.25,7.25,m,300,300,300
Arabica,eduardo luis augusto velazquez solis,Mexico,,1186,ixhuatlan del cafe,EDUARDO LUIS AUGUSTO VELAZQUEZ SOLIS,AMECAFE,7.58,7.33,7.08,7.5,7.17,7.25,m,1186,1186,1186
Arabica,CQI Taiwan ICP CQI,Laos,????,1300,"paksong,laos","Paksong,Laos",Blossom Valley International,7.42,7.33,7.17,7.17,7.17,7.25,m,1300,1300,1300
Arabica,the coffee source inc.,Guatemala,the coffee source inc.,1200,orient,several,Specialty Coffee Association of Costa Rica,7.67,7.25,7.08,7.33,7.17,7.25,m,1200,1200,1200
Arabica,"comercial internacional exportadora, s.a.",Nicaragua,"comercial internacional exportadora, s.a.",1100.00 mosl,jinotega,ROLANDO LACAYO,AsociaciÃ³n de CafÃ©s Especiales de Nicaragua,7.25,7.25,7.17,7.25,7.33,7.25,m,110000,110000,110000
Arabica,cadexsa,Honduras,cadexsa,1350,marcala,Jose Omar Acosta,Instituto HondureÃ±o del CafÃ©,7.42,7.17,7.08,7.42,7.25,7.25,m,1350,1350,1350
Arabica,bourbon specialty coffees,Brazil,bourbon specialty coffees,,monte carmelo,MAX KEND TAKIUTI E OUTROS,Brazil Specialty Coffee Association,7.33,7.25,7.33,7.08,7.58,7.25,m,NA,NA,NA
Arabica,burka coffee estate,United Republic of Tanzania,burka coffee estate,1400,arusha,Burka Coffee Estates,Africa Fine Coffee Association,7.25,7.08,7.08,7.33,7.33,7.25,m,1400,1400,1400
Arabica,ipanema coffees,Brazil,ipanema coffees,1200,south of minas,Ipanema AgrÃ­cola SA,Specialty Coffee Association,7.42,7.25,7.33,7,7.08,7.25,m,1200,1200,1200
Arabica,juan luis alvarado romero,Guatemala,exportcafe,4540 metros,huehuetenango,BYRON ALONZO SOLIS,Asociacion Nacional Del CafÃ©,7.17,7.42,6.83,7.5,7.17,7.25,ft,1383.792,1383.792,1383.792
Arabica,CQI Taiwan ICP CQI,Taiwan,???,50,taiwan,???,Blossom Valley International,7.17,7.17,7.17,7.42,7.17,7.25,m,50,50,50
Arabica,bourbon specialty coffees,Brazil,bourbon specialty coffees,1250 m,vale da grama,Lindolpho de Carvalho Dias,Brazil Specialty Coffee Association,7.25,7.33,7.17,7.5,7.33,7.25,m,1250,1250,1250
Arabica,CQI Taiwan ICP CQI,Taiwan,blossom valley????,600 m,"taichung, xinshe",Wu yi ting ???,Blossom Valley International,7.25,7.25,7.08,7.25,7.25,7.25,m,600,600,600
Arabica,gloria antonieta escobar urrutia,Nicaragua,zeas escobar y compaÃ±Ã­a limitada,900 m.s.n.m.,matagalpa,GLORIA ANTONIETA ESCOBAR URRUTIA,AsociaciÃ³n de CafÃ©s Especiales de Nicaragua,7.08,6.92,7,7.25,7.5,7.25,m,900,900,900
Arabica,CQI Taiwan ICP CQI,Taiwan,blossom valley????,700 m,chiayi fanlu,Weng hui ling ???,Blossom Valley International,7.25,7.08,7.25,7.25,7.17,7.25,m,700,700,700
Arabica,brayan cunha souza,Brazil,carmo coffees,1100,mantiqueira de minas,,Brazil Specialty Coffee Association,7.17,7.17,7,7.17,7.25,7.25,m,1100,1100,1100
Arabica,honor dela fuente,Nicaragua,costco wholesale industries,,nan,,Specialty Coffee Association,7.25,7.17,6.92,7.25,7.17,7.25,m,NA,NA,NA
Arabica,kennedy macharia,Kenya,taylor winch (coffee) ltd,1500,kiambu,YARA / BENVAR,Kenya Coffee Traders Association,7,7.08,7,7.17,7.25,7.25,m,1500,1500,1500
Arabica,the coffee source inc.,Colombia,the coffee source inc.,1200,pereira,Spot,Specialty Coffee Association,7.42,7.25,6.75,7.25,7.42,7.25,m,1200,1200,1200
Arabica,alfredo bojalil,Mexico,ecomtrading,1300,"la concordia, chiapas",AGROINDUSTRIAS UNIDAS DE MEXICO SA DE CV,AMECAFE,7.33,7,6.75,7.08,7.17,7.25,m,1300,1300,1300
Arabica,alejandro garcia palacios,Mexico,industrializadora de kaffee andes s.a. de c.v.,1200,"motozintla, chiapas",ALEJANDRO GARCÃA PALACIOS,AMECAFE,7.08,7,7,7.25,7.33,7.25,m,1200,1200,1200
Arabica,eileen koyanagi,United States of America,kona pacific farmers cooperative,,kona,Kona Pacific Farmers Cooperative,Specialty Coffee Association,7.5,7.33,7.33,7.58,7.67,7.25,ft,NA,NA,NA
Arabica,CQI Taiwan ICP CQI,Taiwan,????,950??,taiwan,,Blossom Valley International,8,7.92,7.92,7.92,7.67,7.33,m,950,950,950
Arabica,CQI Taiwan ICP CQI,Taiwan,????,800??,taiwan,???,Blossom Valley International,7.92,7.83,7.75,7.58,7.5,7.33,m,800,800,800
Arabica,cafebras,Brazil,cafebras comercio de cafÃ©s do brasil sa,900,cerrado,Antonio Batista Francisquine,Brazil Specialty Coffee Association,7.58,7.83,7.33,7.67,7.42,7.33,m,900,900,900
Arabica,gabriel barbara,Brazil,volcafe ltda.,,south of minas,,Brazil Specialty Coffee Association,7.5,7.58,7.42,7.5,7.75,7.33,m,NA,NA,NA
Arabica,sanjava coffee,Indonesia,pt. shriya artha nusantara,1250,bali,vary,Specialty Coffee Association of Indonesia,7.83,7.75,7.25,7.5,7.42,7.33,m,1250,1250,1250
Arabica,enrique mitre lopez,Mexico,cafe de la sierra norte de puebla,1100,zapotitlan de mendez,ENRIQUE MITRE LOPEZ,AMECAFE,7.67,7.5,7.33,7.67,7.5,7.33,m,1100,1100,1100
Arabica,juan luis alvarado romero,Guatemala,"unex guatemala, s.a.",1700,san marcos,ANGEL DE LEON,Asociacion Nacional Del CafÃ©,7.67,7.58,7.25,7.67,7.42,7.33,m,1700,1700,1700
Arabica,manuel herrera juarez,Mexico,finca los barreales,1170,xalapa,MANUEL HERRERA JUAREZ,AMECAFE,7.75,7.33,7.25,7.58,7.58,7.33,m,1170,1170,1170
Arabica,olivia hernandez virves,Mexico,,1250,progreso santa rosa teocelo,OLIVIA HERNANDEZ VIRVES,AMECAFE,7.67,7.58,7.33,7.42,7.58,7.33,m,1250,1250,1250
Arabica,finca las nieves,Mexico,finca las nieves,1450,fln mirador,ROBIN CLEAVER,AMECAFE,7.83,7.5,7.42,7.67,7.17,7.33,m,1450,1450,1450
Arabica,juan luis alvarado romero,Guatemala,finca el morito,5500-6000 psnm,jalapa,"CAFE MOLINO MONTERROSO P,J. ROBERTO",Asociacion Nacional Del CafÃ©,7.67,7.5,7.33,7.67,7.5,7.33,ft,1676.4,1828.8,1752.6
Arabica,klem organics,Brazil,klem organics coffee,1100,brazil matas de minas,NAGIPE VIANA KLEM,Specialty Coffee Association,7.58,7.5,7.25,7.42,7.67,7.33,m,1100,1100,1100
Arabica,ipanema coffees,Brazil,ipanema coffees,1100,south of minas,Ipanema AgrÃ­cola SA,Specialty Coffee Association,7.75,7.58,7.42,7.42,7.33,7.33,m,1100,1100,1100
Arabica,juan luis alvarado romero,Guatemala,"siembras vision, s.a. / ing. jorge bolaÃ±os",4563,antigua,"SIEMBRAS VISION, S.A.",Asociacion Nacional Del CafÃ©,7.5,7.5,7.33,7.58,7.67,7.33,ft,1390.8024,1390.8024,1390.8024
Arabica,exportadora de cafe condor s.a,Colombia,exportadora de cafe condor s.a,1750,huila,,AlmacafÃ©,7.5,7.42,7.67,7.33,7.58,7.33,m,1750,1750,1750
Arabica,ibero coffee trading co (t) ltd,United Republic of Tanzania,ibero tanzania,1600,northern,,Tanzanian Coffee Board,7.42,7.42,7.42,7.5,7.5,7.33,m,1600,1600,1600
Arabica,salvador caro carrion,Mexico,,1000,altotonga,SALVADOR CARO CARRION,AMECAFE,7.5,7.58,7.25,7.5,7.5,7.33,m,1000,1000,1000
Arabica,rosa aurora falcon fernandez,Mexico,,1250,coatepec,ROSA AURORA FALCON FERNANDEZ,AMECAFE,7.67,7.5,7.25,7.58,7.42,7.33,m,1250,1250,1250
Arabica,"lin, che-hao krude",Taiwan,"red on tree co., ltd.",600m,"dongshan dist., tainan city",Chen Jin Lin ???,Specialty Coffee Association,7.33,7.5,7.17,7.42,7.5,7.33,m,600,600,600
Arabica,gabriel barbara,Brazil,volcafe ltda.,1020,monte carmelo,MÃºcio Cardoso,Brazil Specialty Coffee Association,7.42,7.33,7.33,7.5,7.5,7.33,m,1020,1020,1020
Arabica,juan luis alvarado romero,Guatemala,asociaciÃ³n nacional del cafÃ© - anacafe -,1300 a 1800 mtrs. a nivel del mar,nuevo oriente,OVIDIO CARDONA,Asociacion Nacional Del CafÃ©,7.58,7.58,7.17,7.83,7.17,7.33,m,1300,1800,1550
Arabica,saul m. hernandez ramirez,Mexico,,690,"huazalingo, hidalgo","FRANCISCO SAENZ, FERNANDO",AMECAFE,7.5,7.42,7.25,7.5,7.33,7.33,m,690,690,690
Arabica,juan hermilio sampieri carcamo,Mexico,,1650,veracruz,JUAN HERMILIO SAMPIERI CARCAMO,AMECAFE,7.33,7.58,7.17,7.58,7.42,7.33,m,1650,1650,1650
Arabica,exportadora de cafe condor s.a,Colombia,,1600 m.s.n.m,cundinamarca,Exportadora de CafÃ© CÃ³ndor S.A,AlmacafÃ©,7.67,7.33,7.33,7.58,7.33,7.33,m,1600,1600,1600
Arabica,u mg mg,Myanmar,,4001,ywar ngan,U Mg Mg,Coffee Quality Institute,7.33,7.58,7.5,7.42,7.33,7.33,m,4001,4001,4001
Arabica,viridiana,Mexico,agroindustrias unidas de mexico sa de cv,1350-1500,chiapas,MARTINIANO A. MORENO ALVARADO,AsociaciÃ³n Mexicana De CafÃ©s y CafeterÃ­as De Especialidad A.C.,7.58,7.5,7.33,7.5,7.17,7.33,m,1350,1500,1425
Arabica,"lin, che-hao krude",Taiwan,taiwan coffee laboratory,700m,"dongshan dist., tainan city",LIN SIN JI ???,Specialty Coffee Association,7.67,7.33,7.17,7.25,7.75,7.33,m,700,700,700
Arabica,ipanema coffees,Brazil,ipanema coffees,1100,south of minas,Ipanema AgrÃ­cola SA,Specialty Coffee Association,7.33,7.58,7.25,7.17,7.83,7.33,m,1100,1100,1100
Arabica,"TomÃ¡s Sosa, Juan Damaso",Honduras,cigrah,1350,comayagua,"TomÃ¡s Sosa, Juan Damaso",Instituto HondureÃ±o del CafÃ©,7.5,7.5,7.33,7.33,7.33,7.33,m,1350,1350,1350
Arabica,christina dusing,Mexico,,1500,veracruz,MARIA MAGDALENA LUETHJE Y GRIS,AMECAFE,7.83,7.33,7.25,7.58,7.25,7.33,m,1500,1500,1500
Arabica,exportadora de cafe condor s.a,Colombia,,1600-1800 msnm,huila,,AlmacafÃ©,7.58,7.5,7.17,7.58,7.33,7.33,m,1600,1800,1700
Arabica,juan luis alvarado romero,Guatemala,"unex guatemala, s.a.",1700,san marcos,ANGEL DE LEON,Asociacion Nacional Del CafÃ©,7.5,7.5,7.25,7.42,7.42,7.33,m,1700,1700,1700
Arabica,"sunvirtue co., ltd.",Vietnam,"sunvirtue co., ltd.",1040,vietnam,Richard Yeh,Specialty Coffee Association,7,7.08,7.33,7.5,7.5,7.33,m,1040,1040,1040
Arabica,ngorogoro convenant estate,United Republic of Tanzania,ngorogoro convenant estate,1500 - 1700,ngorogoro,Ngorogoro Convenant Estate,Africa Fine Coffee Association,7.42,7.42,7.42,7.42,7.33,7.33,m,1500,1700,1600
Arabica,diego manuel woolrich ramirez,Mexico,,1100,oaxaca,"CENEN TORRES CORTES, AVELINO TORES CORTES, JUAN VENTURA GUZMAN",AMECAFE,7.42,7.5,7.33,7.58,7.33,7.33,m,1100,1100,1100
Arabica,taylor winch (coffee) ltd.,United Republic of Tanzania,volcafe/taylorwinch tanzania ltd,1800,mbinga,Ngima Amcos,Tanzanian Coffee Board,7.17,7.33,7.33,7.42,7.5,7.33,m,1800,1800,1800
Arabica,tembo coffee company ltd,United Republic of Tanzania,tembo coffee company ltd,1700,"ilomba vilage, mbozi",Tembo Coffee Company Ltd,Africa Fine Coffee Association,7.33,7.33,7.5,7.25,7.42,7.33,m,1700,1700,1700
Arabica,CQI Taiwan ICP CQI,Taiwan,blossom valley????,750 m,nantou,Wu cai jin ???,Blossom Valley International,7.58,7.42,7.33,7.42,7.33,7.33,m,750,750,750
Arabica,fredy gordillo reyes,Mexico,union ramal santa cruz spr de ri,1400,"la concordia, chiapas",UNION RAMAL SANTA CRUZ,AMECAFE,7.5,7.42,7.08,7.58,7.33,7.33,m,1400,1400,1400
Arabica,juan luis alvarado romero,Guatemala,finca el morito,5500-6000 psnm,jalapa,"CAFE MOLINO MONTERROSO P,J. ROBERTO",Asociacion Nacional Del CafÃ©,7.5,7.67,7.33,7.33,7.33,7.33,ft,1676.4,1828.8,1752.6
Arabica,miguel cortes moreno,Mexico,"estrategias constructivas corzu, s.a. de c.v.",940,"sacÃºn palma, municipio de chilÃ³n, chiapas",ARMANDO GUTIEREZ GUZMÃN,AMECAFE,7.75,7.58,7.25,7.17,7.58,7.33,m,940,940,940
Arabica,mdh,Honduras,molinos de honduras,1200,western region,Cafes Finos de Corquin,Instituto HondureÃ±o del CafÃ©,7.5,7.42,7.08,7.42,7.5,7.33,m,1200,1200,1200
Arabica,juan luis alvarado romero,Guatemala,"unex guatemala, s.a.",190164,huehuetenango,"AGRICOLA EL PILAR, SA.",Asociacion Nacional Del CafÃ©,7.42,7.42,7.08,7.5,7.42,7.33,m,190164,190164,190164
Arabica,acacia hills ltd,United Republic of Tanzania,acacia hills ltd,1800,"oldeani , mongola",Acacia Hills Ltd,Africa Fine Coffee Association,7.42,7.42,7.33,7.42,7.42,7.33,m,1800,1800,1800
Arabica,afca,Malawi,mzuzu coffee planters coop union,1100m,mzuzu,Mzuzu Coffee Coop Union,Africa Fine Coffee Association,7.42,7.42,7.17,7.58,7.33,7.33,m,1100,1100,1100
Arabica,doi tung development project,Thailand,,,nan,,Specialty Coffee Association,7.33,7.33,7.17,7.5,7.58,7.33,m,NA,NA,NA
Arabica,"exportadora atlantic, s.a.",Nicaragua,exportadora atlantic s.a,1100,jalapa,TeÃ³filo NarvÃ¡ez :,Instituto HondureÃ±o del CafÃ©,7.5,7.42,7.33,7.33,7.25,7.33,m,1100,1100,1100
Arabica,genius coffee,Myanmar,"aung nay lin htun co., ltd",4000 ft,ywar ngan township,Genius Coffee Estate,Coffee Quality Institute,7.25,7.42,7.25,7.5,7.33,7.33,ft,1219.2,1219.2,1219.2
Arabica,myriam kaplan-pasternak,Haiti,haiti coffee,400-1250m,"dondon, haiti",Mixed,Specialty Coffee Association,7.42,7.33,7.25,7.42,7.42,7.33,m,400,1250,825
Arabica,CQI Taiwan ICP CQI,Taiwan,blossom valley????,600 m,"taichung, xinshe",Xu yuan zhang ???,Blossom Valley International,7.5,7.42,7.25,7.25,7.33,7.33,m,600,600,600
Arabica,alfredo bojalil,Mexico,ecomtrading,1600,amatenango de la frontera,JORGE HERNANDEZ MONTEJO,AMECAFE,7.58,7.42,7.25,7.42,7.33,7.33,m,1600,1600,1600
Arabica,specialty coffee association of indonesia,Indonesia,scai,1200-1600masl,ijen,PT. Perkebunan Nusantara XII,Specialty Coffee Association of Indonesia,7.75,7.17,7.17,7.33,7.58,7.33,m,1200,1600,1400
Arabica,jacques pereira carneiro,Brazil,exportadora de cafÃ©s carmo de minas ltda,1.25,sul de minas,Nazareth Dias Pereira,NUCOFFEE,7.5,7.42,7.17,7.42,7.5,7.33,m,125,125,125
Arabica,juan luis alvarado romero,Guatemala,"unex guatemala, s.a.",,oriente,CHIQUIMULJA / ALPHA CAFE / SENFRO,Asociacion Nacional Del CafÃ©,7.33,7.5,7.33,7.42,7.17,7.33,m,NA,NA,NA
Arabica,racafe & cia s.c.a,Colombia,,1050 - 1850,cauca,,AlmacafÃ©,7.42,7.42,7.17,7.42,7.42,7.33,m,1050,1850,1450
Arabica,cafes tomari sa de cv,Mexico,cafes tomari sa de cv,1100,veracruz,Cafes tomari sa de cv,Centro AgroecolÃ³gico del CafÃ© A.C.,7.58,7.33,7.08,7.33,7.5,7.33,m,1100,1100,1100
Arabica,ipanema coffees,Brazil,ipanema coffees,1100,south of minas,Ipanema AgrÃ­cola SA,Specialty Coffee Association,7.25,7.5,7.42,7.17,7.33,7.33,m,1100,1100,1100
Arabica,grupo cafetalero los brujos spr de rl,Mexico,grupo cafetalero los brujos,1100,"coatepec, coatepec",MARIA DE LOUDES ANCIRA ELIZONDO,AMECAFE,7.42,7.42,7.25,7.25,7.5,7.33,m,1100,1100,1100
Arabica,bismarck castro,Honduras,cigrah s.a de c.v,1500,comayagua,Nahun Maldonado,Instituto HondureÃ±o del CafÃ©,7.5,7.5,7,7.17,7.5,7.33,m,1500,1500,1500
Arabica,jacques pereira carneiro,Brazil,exportadora de cafÃ©s carmo de minas ltda,1200,mantiqueira de minas,NAZARETH DIAS PEREIRA,Brazil Specialty Coffee Association,7.17,7.33,7.42,7.25,7.42,7.33,m,1200,1200,1200
Arabica,mayra yessenia torres,Honduras,"olam honduras, s.a.",1450 msnm,san marcos,Nelson Melgar Melgar,Instituto HondureÃ±o del CafÃ©,7.33,7.33,7.17,7.33,7.5,7.33,m,1450,1450,1450
Arabica,hector gabriel barreda nader,Mexico,,1000,veracruz,HECTOR GABRIEL BARREDA NADER,AMECAFE,7.33,7.25,7.17,7.42,7.58,7.33,m,1000,1000,1000
Arabica,essencecoffee,Guatemala,essence coffee,1700m,huehuetenango,El Injerto S.A.,Blossom Valley International,7.33,7.42,7.17,7.25,7.42,7.33,m,1700,1700,1700
Arabica,Reynerio Zepeda,Honduras,cigrah,1450,central region,Reinerio Zepeda,Instituto HondureÃ±o del CafÃ©,7.42,7.33,7,7.42,7.33,7.33,m,1450,1450,1450
Arabica,afca,Malawi,r.w.j wallace ltd,990-1000m,southern- zomba,R.W.J. Wallace Ltd,Africa Fine Coffee Association,7.58,7.25,7.33,7.08,7.33,7.33,m,990,1000,995
Arabica,rolando lacayo,Nicaragua,"comercial internacional exportadora, s.a.",1100 m.o.s.l.,jinotega,ROLANDO LACAYO,AsociaciÃ³n de CafÃ©s Especiales de Nicaragua,7.33,7.33,7.33,7.42,7.33,7.33,m,1100,1100,1100
Arabica,wali ali,United States of America,conscious bean coffee,5600 feet,central america,JuanAna Coffee Association,Specialty Coffee Association,7.42,7.17,7.33,7.42,7.25,7.33,ft,1706.88,1706.88,1706.88
Arabica,taylor winch (t) ltd,United Republic of Tanzania,taylor winch (t) ltd,1456,"iwala village, mbeya rural",Taylor Winch (T) ltd,Africa Fine Coffee Association,7.42,7.33,7.33,7.25,7.25,7.33,m,1456,1456,1456
Arabica,obed rendon ponce,Mexico,cafetera el grande s.a. de c.v.,1650,san fernando,MEDINA PEDRERO PRODUCTOS AGRÃCOLAS SA DE CV,AMECAFE,7.25,7.42,7.33,7.33,7.17,7.33,m,1650,1650,1650
Arabica,"lin, che-hao krude",Taiwan,taiwan coffee laboratory,758m,"dongshan dist., tainan city",HU KUEI CHING ???,Specialty Coffee Association,7.25,7.17,7.17,7.25,7.5,7.33,m,758,758,758
Arabica,mlimani ngarashi,United Republic of Tanzania,mlimani ngarashi,1525 m,arusha,Mlimani Ngarashi,Africa Fine Coffee Association,7.33,7.33,7.08,7.42,7.17,7.33,m,1525,1525,1525
Arabica,CQI Taiwan ICP CQI,Taiwan,blossom valley????,1100 m,nantou,Zhou hong xiu ???,Blossom Valley International,7.5,6.92,7.33,7.33,7.33,7.33,m,1100,1100,1100
Arabica,grupo santab s.a de c.v.,Mexico,grupo santab s.a. de c.v.,1100,veracruz,Jose Oscar Garza Sardaneta,Centro AgroecolÃ³gico del CafÃ© A.C.,7.5,7.33,7.17,7.42,7.5,7.33,m,1100,1100,1100
Arabica,karatu estate,United Republic of Tanzania,karatu estate,1700,"manyara, karatu",Karatu Estate,Africa Fine Coffee Association,7.33,7.17,7.17,7.25,7.42,7.33,m,1700,1700,1700
Arabica,jacques pereira carneiro,Brazil,exportadora de cafÃ©s carmo de minas ltda,1200,mantiqueira de minas,NAZARETH DIAS PEREIRA,Brazil Specialty Coffee Association,7.25,7.33,7.25,7.25,7.25,7.33,m,1200,1200,1200
Arabica,ipanema coffees,Brazil,ipanema coffees,1100,south of minas,Ipanema AgrÃ­cola SA,Specialty Coffee Association,7.17,7.42,7.17,7.25,7.25,7.33,m,1100,1100,1100
Arabica,luis roberto fermoso beltran,Mexico,productora rural la victoria s.p.r. de r.l.,1210,motozintla,DOMINGO MUGUIRA REVUELTA,AMECAFE,7.17,7.08,7.25,7.42,7.25,7.33,m,1210,1210,1210
Arabica,Reynerio Zepeda,Honduras,cigrah,1450,central region,Reinerio Zepeda,Instituto HondureÃ±o del CafÃ©,7.25,7.33,7.08,7.5,7.25,7.33,m,1450,1450,1450
Arabica,myriam kaplan-pasternak,Haiti,haiti coffee,~1000 meters,haiti,COOPAIMAR Copperative Agro Industriel de Marmelade,Specialty Coffee Association,7.42,7,7.42,7.25,7.08,7.33,m,1000,1000,1000
Arabica,CQI Taiwan ICP CQI,Taiwan,????,,taiwan,???,Blossom Valley International,7.33,7.08,7.08,7.08,7.42,7.33,m,NA,NA,NA
Arabica,juan luis alvarado romero,Guatemala,"unex guatemala, s.a.",,oriente,CHIQUIMULJA / ALPHA CAFE / SENFRO,Asociacion Nacional Del CafÃ©,7,7.33,7.5,7.33,7,7.33,m,NA,NA,NA
Arabica,racafe & cia s.c.a,Colombia,,,nan,,AlmacafÃ©,7.08,7.25,7,7.5,7.08,7.33,m,NA,NA,NA
Arabica,kona pacific farmers cooperative,United States of America,cqi,,kona,,Specialty Coffee Association,7.17,7.5,6.92,7.33,7.67,7.33,ft,NA,NA,NA
Arabica,u htun htun,Myanmar,,4287,ywar ngan,U Htun Htun,Coffee Quality Institute,7.42,7,7.08,7,7.17,7.33,m,4287,4287,4287
Arabica,"sunvirtue co., ltd.",Vietnam,"sunvirtue co., ltd.",1550,dala,"Yeh, Li Chuan",Specialty Coffee Association,7.42,7.25,7.25,7.58,7.42,7.33,m,1550,1550,1550
Arabica,kona pacific farmers cooperative,United States of America,,,kona,,Specialty Coffee Association,7.58,7.5,7.33,7.33,7.67,7.33,ft,NA,NA,NA
Arabica,pablo enrique martinez gama,Mexico,,1250,coatepec,PABLO ENRIQUE MARTINEZ GAMA,AMECAFE,7.25,7.25,7.08,7.17,7.33,7.33,m,1250,1250,1250
Arabica,montegrande,Mexico,,1100,jaltenango,MARIA ELENA TERESA FERNANDEZ CEJA,AMECAFE,7.17,7.08,7.08,7.08,7.5,7.33,m,1100,1100,1100
Arabica,juan luis alvarado romero,Guatemala,"unex guatemala, s.a.",1700,san marcos,JORGE LEAL,Asociacion Nacional Del CafÃ©,7.33,7.25,6.92,7.33,7.25,7.33,m,1700,1700,1700
Arabica,lusso lab,Guatemala,lusso coffee lab,,antigua,Jorge Bolanos,Specialty Coffee Association,7.58,7.33,7.5,7.33,7,7.33,m,NA,NA,NA
Arabica,juan luis alvarado romero,Guatemala,"unex guatemala, s.a.",4000,oriente,JESUS RAMIREZ,Asociacion Nacional Del CafÃ©,7.42,7.42,7.25,7.58,7.42,7.33,ft,1219.2,1219.2,1219.2
Arabica,exportadora de cafe condor s.a,Colombia,,1800 msnm,huila,,AlmacafÃ©,7.25,7.17,7,6.75,7.17,7.33,m,1800,1800,1800
Arabica,juan luis alvarado romero,Guatemala,"unex guatemala, s.a.",,oriente,Conquista/ Morito,Asociacion Nacional Del CafÃ©,7.17,6.5,6.33,7.25,7.58,7.33,m,NA,NA,NA
Arabica,kona pacific farmers cooperative,United States of America,,,kona,,Specialty Coffee Association,7.92,6.83,7.08,7.42,6.75,7.33,ft,NA,NA,NA
Arabica,juan luis alvarado romero,Guatemala,"unex guatemala, s.a.",,oriente,Conquista/ Morito,Asociacion Nacional Del CafÃ©,7.17,6.08,6.17,7.25,7.33,7.33,m,NA,NA,NA
Arabica,eileen koyanagi,United States of America,kona pacific farmers cooperative,,kona,,Specialty Coffee Association,7.58,7.33,7.5,7.42,7.5,7.33,ft,NA,NA,NA
Arabica,juan luis alvarado romero,Guatemala,"unex guatemala, s.a.",4300,oriente,AGROPECUARIA QUIAGRAL,Asociacion Nacional Del CafÃ©,7.5,7,6.83,7.5,7.17,7.33,ft,1310.64,1310.64,1310.64
Arabica,eileen koyanagi,United States of America,kona pacific farmers cooperative,,kona,,Specialty Coffee Association,7.5,7.25,7,7.25,7.42,7.33,ft,NA,NA,NA
Arabica,eugene holman pew,Mexico,,1250,coatepec,EUGENE HOLMAN PEW,AMECAFE,7.67,7,7.17,7.58,7.33,7.33,m,1250,1250,1250
Arabica,manuel herrera juarez,Mexico,finca los barreales,1170,xalapa,MANUEL HERRERA JUAREZ,AMECAFE,7.83,7.58,7.25,7.5,7.5,7.42,m,1170,1170,1170
Arabica,doi tung development project,Thailand,,,nan,Doi Tung Development Project,Specialty Coffee Association,7.58,7.25,7.5,7.92,7.92,7.42,m,NA,NA,NA
Arabica,exportadora de cafe condor s.a,Colombia,exportadora de cafe condor s.a,1650 msnm,santander,varios,AlmacafÃ©,7.67,7.75,7.42,7.83,7.83,7.42,m,1650,1650,1650
Arabica,itiah coffee llc,Haiti,itiah coffee llc.,4200 feet,"thiotte, haiti",COOPCAB,Specialty Coffee Association,7.58,7.5,7.67,7.5,7.83,7.42,ft,1280.16,1280.16,1280.16
Arabica,carcafe ltda ci,Colombia,carcafe ltda,1000 msnm,pitalito,ORLANDO ORTIZ / HIPOLITO TORRES,AlmacafÃ©,7.67,7.67,7.5,7.67,7.92,7.42,m,1000,1000,1000
Arabica,bourbon specialty coffees,Brazil,bourbon specialty coffees,,campos altos - cerrado,,Brazil Specialty Coffee Association,7.58,7.67,7.42,7.5,7.67,7.42,m,NA,NA,NA
Arabica,nestor mendez gomez,Mexico,cesmach s.c.,1500,chiapas,MARGARITO ROBLERO VAZQUEZ,AMECAFE,7.75,7.58,7.58,7.58,7.5,7.42,m,1500,1500,1500
Arabica,ipanema coffees,Brazil,ipanema coffees,1,south of minas,Ipanema AgrÃ­cola SA,Brazil Specialty Coffee Association,7.33,7.67,7.67,7.33,7.75,7.42,m,1,1,1
Arabica,ipanema coffees,Brazil,ipanema coffees,872,south of minas,Ipanema Agricola,Brazil Specialty Coffee Association,7.5,7.67,7.58,7.67,7.58,7.42,m,872,872,872
Arabica,juan luis alvarado romero,Guatemala,"agricola nueva granada, s.a.",4500 pies,"el tumbador, san marcos","Agricola Nueva Granada, S. A.",Asociacion Nacional Del CafÃ©,7.75,7.67,7.33,7.75,7.5,7.42,ft,1371.6,1371.6,1371.6
Arabica,carcafe ltda ci,Colombia,carcafe ltda,1000 msnm,pitalito,ORLANDO ORTOZ / HIPOLITO TORRES,AlmacafÃ©,7.58,7.75,7.42,7.67,7.58,7.42,m,1000,1000,1000
Arabica,exportadora de cafe condor s.a,Colombia,exportadora de cafe condor s.a,1750 msnm,huila,,AlmacafÃ©,7.67,7.58,7.58,7.58,7.67,7.42,m,1750,1750,1750
